Model,Accuracy,Precision,Recall,F1 Score,Balanced Accuracy,MCC,PR-AUC_0,PR-AUC_1,ROC-AUC_0,ROC-AUC_1
DT_RFE_FMS,0.7761,0.2628,0.3841,0.3121,0.61,0.1887,0.3816,0.3649,0.3885,0.6115
RF_RFE_FMS,0.8097,0.3244,0.4059,0.3606,0.6386,0.2526,0.0816,0.3093,0.2278,0.7722
AB_RFE_FMS,0.5661,0.2211,0.9045,0.3553,0.7095,0.2849,0.0817,0.2736,0.2378,0.7622
XGB_RFE_FMS,0.6563,0.2535,0.8216,0.3873,0.7264,0.3101,0.0786,0.3377,0.1997,0.8003
NB_RFE_FMS,0.5406,0.2105,0.9003,0.3413,0.693,0.2638,0.0845,0.2563,0.2576,0.7424
LR_Lasso_RFE_FSS,0.5317,0.2109,0.9272,0.3436,0.6993,0.2737,0.0816,0.2781,0.2379,0.7621
NN_Lasso_RFE_FSS,0.6089,0.2344,0.8622,0.3685,0.7163,0.2934,0.0807,0.2757,0.2258,0.7742
KNN_Lasso_RFE_FSS,0.7008,0.2346,0.5581,0.3303,0.6403,0.2047,0.1894,0.3034,0.3093,0.6907
DT_Lasso_RFE_FSS,0.7684,0.2679,0.4341,0.3311,0.6267,0.2092,0.3584,0.3873,0.3733,0.6267
RF_Lasso_RFE_FSS,0.804,0.3175,0.4197,0.3615,0.6411,0.2517,0.0815,0.3012,0.2313,0.7687
AB_Lasso_RFE_FSS,0.577,0.2226,0.8801,0.355,0.7054,0.2795,0.0819,0.271,0.2407,0.7593
XGB_Lasso_RFE_FSS,0.6064,0.2378,0.8964,0.3759,0.7293,0.3107,0.0785,0.3413,0.1974,0.8026
NB_Lasso_RFE_FSS,0.54,0.2115,0.9091,0.3432,0.6965,0.2687,0.0839,0.259,0.2515,0.7485
LR_Lasso_RFE_FMS,0.534,0.2113,0.9243,0.344,0.6994,0.2735,0.0816,0.2752,0.2385,0.7615
NN_Lasso_RFE_FMS,0.6025,0.2305,0.8582,0.3634,0.7109,0.2858,0.0808,0.2779,0.2281,0.7719
KNN_Lasso_RFE_FMS,0.7014,0.2356,0.5609,0.3319,0.6419,0.2069,0.1852,0.3063,0.3043,0.6957
DT_Lasso_RFE_FMS,0.7739,0.2599,0.3842,0.31,0.6087,0.1858,0.3821,0.3629,0.3901,0.6099
RF_Lasso_RFE_FMS,0.8121,0.3232,0.385,0.3514,0.6311,0.2438,0.0836,0.2971,0.2403,0.7597
AB_Lasso_RFE_FMS,0.5683,0.2215,0.9,0.3554,0.7089,0.284,0.0817,0.2729,0.2385,0.7615
XGB_Lasso_RFE_FMS,0.6608,0.2547,0.8114,0.3875,0.7246,0.3084,0.0788,0.3342,0.202,0.798
NB_Lasso_RFE_FMS,0.535,0.2105,0.915,0.3422,0.696,0.2686,0.0838,0.26,0.2509,0.7491
